GEO_ID,NAME,P_Total_HH_SingleFamily,P_Total_HH_W.MinorsSingleFamily,P_Total_IAP_B,P_Total_IAP_W,P_Total_IBP_B,P_Total_IBP_W,Male_FT_Median_Earnings,Female_FT_Median_Earnings,Male_FT_Median_Earnings_B,Female_FT_Median_Earnings_B,Male_FT_Median_Earnings_W,Female_FT_Median_Earnings_W,Male_Other_Median_Earnings,Female_Other_Median_Earnings,Male_Other_Median_Earnings_B,Female_Other_Median_Earnings_B,Male_Other_Median_Earnings_W,Female_Other_Median_Earnings_W,Total_Unemployment_Rate,P_Total_Car_truck_van_B,P_Total_Car_truck_van_W,P_Total_HHOnSNAP_W.MinorsSingleFamily
0500000US28061,"Jasper County, Mississippi",24.8349714,16.79624468,69.53256361,86.61279461,30.46743639,13.38720539,40682,28384,32439,25629,48842,30883,6640,12240,6307,13425,6968,9375,5.622373569,95.38461538,96.64131812,16.79624468
0500000US28063,"Jefferson County, Mississippi",37.74969425,21.72849572,46.07971251,100,53.92028749,0,35762,28485,30573,24884,67652,NA,15860,11081,15975,11070,2500,NA,9.615384615,92.66435986,100,21.72849572
0500000US28065,"Jefferson Davis County, Mississippi",26.26094206,17.92413506,61.62177569,77.10064635,38.37822431,22.89935365,39885,24106,39650,23621,41083,24657,7474,8354,8414,7385,NA,9028,10.70043349,97.77411377,92.59796807,17.92413506
0500000US28067,"Jones County, Mississippi",21.96002108,14.52378056,60.45183069,86.21994465,39.54816931,13.78005535,37161,30728,24865,24095,42050,33512,13496,8431,15858,8683,12131,8365,7.830437614,96.35208979,94.07840298,14.52378056
0500000US28069,"Kemper County, Mississippi",24.49255751,14.9391069,54.69061876,89.97223079,45.30938124,10.02776921,31957,26918,25794,18292,53868,36439,4719,7619,5185,7101,4187,NA,6.845708268,93.62567812,89.88860326,14.9391069
0500000US28071,"Lafayette County, Mississippi",18.0604037,10.17858046,65.63046921,78.08247792,34.36953079,21.91752208,44678,32238,35628,26773,50125,39754,6711,5464,6836,7903,6580,4884,5.7417741,95.54150454,90.73590504,10.17858046
0500000US28073,"Lamar County, Mississippi",18.33166833,13.76805013,73.59409099,87.58914898,26.40590901,12.41085102,51380,37474,44474,35214,52313,38000,13001,8166,19871,9067,12738,7950,9.033755682,87.06515472,92.10944808,13.76805013
0500000US28075,"Lauderdale County, Mississippi",22.32704403,15.08764887,62.32473139,90.86345137,37.67526861,9.136548632,40525,30240,27771,24645,49522,35740,9089,8586,9047,8121,8960,9241,7.070964815,93.30948703,95.12779137,15.08764887
0500000US28077,"Lawrence County, Mississippi",19.01700539,10.26545002,69.15576694,86.25825826,30.84423306,13.74174174,47023,30393,41506,23898,49830,31567,15459,9230,8750,10230,16913,9112,9.31212876,93.33333333,92.17581047,10.26545002
0500000US28079,"Leake County, Mississippi",26.32474477,15.10695187,64.2177018,84.64223386,35.7822982,15.35776614,34531,25754,30669,23547,38709,28272,13233,9506,13152,11250,15245,8477,9.151533805,95.41935484,96.33256929,15.10695187
